,SalePrice
472,148000
1400,120000
792,269790
651,108000
1110,188000
535,107500
1447,240000
511,202665
737,239900
1172,171900
132,150750
15,132000
1395,281213
830,166000
627,153000
1367,127000
482,155000
887,135500
1238,142500
573,170000
875,303477
920,201000
1204,153500
910,154300
407,177000
1212,113000
188,153337
192,192000
103,198900
604,221000
60,158000
586,130000
524,315750
648,155000
540,315000
871,200500
797,110000
955,145000
166,190000
1067,167900
964,214900
478,297000
82,245000
1335,167900
496,430000
1041,173000
353,105900
1002,232000
1148,116900
375,61000
117,155000
1383,112000
254,145000
547,129500
314,178000
768,216837
993,173900
970,135000
400,245500
113,217000
531,128000
756,212000
440,555000
251,235000
362,198500
801,109900
265,175500
1047,145000
363,118000
656,145500
988,195000
957,132000
274,124500
1159,185000
1347,283463
866,248900
748,260400
1288,278000
123,153900
1393,163000
16,149000
977,199900
907,250000
1133,239500
355,177500
886,145000
1424,144000
1428,119000
589,79500
97,94750
1068,151400
1267,378500
197,235000
184,127000
1278,237000
1417,340000
1378,83000
836,153500
729,103000
81,153500
662,110000
402,108000
269,148000
390,119000
1262,161500
1013,85000
267,179500
716,159500
1199,148000
88,85000
725,120500
1240,224900
1125,115000
297,239000
263,130000
724,320000
616,183200
1197,144000
1414,207000
410,60000
360,156000
240,262500
949,197500
1025,112500
879,136500
626,139900
733,131400
983,255900
458,161000
110,136900
1184,186700
1237,195000
617,105500
1141,197500
508,161000
587,137000
1095,176432
697,123500
1360,189000
849,187000
371,134432
1444,179600
388,191000
201,171500
65,317000
1365,216000
769,538000
275,205000
1310,335000
850,131500
914,173733
730,236500
546,210000
483,164000
793,225000
1158,235128
1309,179200
1175,285000
189,286000
687,148800
888,268000
319,187500
215,134450
1108,181000
1343,177000
872,116000
536,188000
257,220000
30,40000
1111,205000
231,403000
1245,178000
1375,239000
1057,248000
779,135000
895,140000
266,185000
101,178000
13,279500
1363,156932
776,221500
770,134900
1371,165500
571,120000
968,37900
777,142500
528,86000
500,113000
701,140000
924,207500
655,88000
686,227875
1198,178000
1089,197000
370,172400
645,143250
229,192500
422,113000
207,141000
79,110000
191,184000
497,184000
711,102776
146,105000
1056,185850
321,354000
1429,182900
1165,233170
462,62383
145,130000
1206,107000
974,167500
809,106000
989,197000
670,173500
599,151000
1233,142000
1259,151000
83,126500
155,79000
1377,117000
1138,196000
734,108000
128,155000
1104,106000
878,148000
408,280000
151,372402
1087,252000
418,126000
1215,125000
874,66500
969,140000
703,140000
825,385000
1337,52500
832,237000
356,173000
95,185000
632,82500
576,145000
37,153000
490,115000
144,125000
1255,127500
159,320000
557,108000
803,582933
1247,169900
1423,274970
1042,196000
732,222500
237,194500
904,125500
223,97000
1276,162000
1442,310000
922,169990
669,137500
594,110000
865,148500
1334,125000
62,202500
1273,177000
194,127000
236,185500
182,120000
1169,625000
1376,91000
906,255000
526,132000
677,109500
1320,156500
1382,157000
1016,203000
719,128500
386,81000
1457,266500
1352,134900
335,228950
1224,184000
264,73000
6,307000
268,120500
38,109000
1416,122500
550,140000
118,320000
659,167000
1280,227000
1006,163500
105,250000
991,168000
489,86000
1408,125500
1134,169000
691,755000
20,325300
243,120000
50,177000
163,103200
1012,165000
739,190000
750,96500
861,131500
1036,315500
304,295000
1114,117000
173,163000
715,165000
665,230500
839,130500
287,88000
1029,118000
1258,190000
1445,129000
1373,466500
1186,95000
869,236000
676,87000
1344,155835
211,186000
348,154000
309,360000
218,311500
1432,64500
292,131000
382,213500
168,183500
426,275000
226,290000
623,168500
12,144000
527,446261
1124,163900
68,80000
90,109900
1103,159500
384,240000
932,320000
376,148000
260,176000
903,240000
307,89500
1303,232000
415,181134
1411,140000
818,155000
42,144000
209,145000
537,111250
921,145900
495,34900
603,151000
1032,310000
520,106250
288,122000
1427,140000
71,129500
566,325000
180,177000
899,135000
1366,193000
498,130000
116,139000
296,152000
76,135750
48,113000
846,213000
783,165500
780,176000
1201,197900
1260,181000
336,377426
581,253293
629,168500
569,135960
994,337500
938,239799
414,228000
643,152000
1451,287090
1022,87000
1225,145000
291,135900
1274,139000
637,93000
529,200624
158,254900
341,82000
1379,167500
501,226700
46,239686
755,172500
136,143000
761,100000
467,146500
935,79900
847,133500
444,210000
178,501837
575,118500
1171,163000
429,175000
329,78000
650,205950
672,165000
354,140000
452,204000
900,110000
17,90000
1063,110500
1049,84900
1024,287000
928,236500
1358,177500
349,437154
480,326000
316,260000
762,215200
1236,175500
456,98000
171,215000
707,254000
1458,142125
134,180000
821,93000
1231,132500
1160,146000
838,144000
78,136500
1136,119000
350,318061
401,164990
1189,189000
393,100000
389,426000
913,145000
119,163990
1099,157000
1109,280000
230,148000
1232,101800
21,139400
1150,124000
774,395000
396,123000
252,173000
244,205000
1075,219500
35,309000
600,275000
679,128500
512,129900
1440,191000
1085,147000
943,143000
1176,119500
109,190000
919,176500
383,76000
877,350000
621,240000
611,148000
951,119900
634,144000
804,118000
668,168000
588,143000
1426,271000
731,187500
172,239000
685,207500
239,113000
708,179540
1058,335000
1323,82500
864,250580
717,157000
1434,160000
324,242000
121,100000
1292,107500
156,109500
1235,138887
631,209500
139,231500
126,128000
461,155000
66,180000
856,147000
1014,119200
1052,165000
788,107900
1283,139000
633,139400
612,261500
1443,121000
1205,271900
179,100000
1200,116050
420,206300
100,205000
1453,84500
220,204900
749,98000
338,202500
1185,104900
114,259500
842,174900
689,194700
841,157500
221,200000
395,129000
1342,228500
948,192500
312,119900
1268,381000
1364,144152
532,107500
992,187000
246,137000
693,108480
523,184750
1251,171750
1040,155000
1368,144000
399,241000
647,155000
104,169500
823,139500
1055,180000
1144,80000
728,110000
822,225000
51,114500
609,118500
358,130000
1369,232000
465,178740
22,230000
378,394432
543,133000
1156,179900
219,167240
591,451950
1007,88000
1030,160000
1126,174000
1050,176485
419,142000
206,143900
1374,250000
502,140000
521,150000
710,52000
1132,117500
684,221000
379,179000
984,126000
186,173000
1127,259000
409,339750
714,130500
424,139000
406,115000
351,190000
1180,250000
446,190000
133,220000
753,275500
174,184000
698,138500
833,167000
835,128000
433,181000
1227,147000
1072,91500
1437,394617
1252,130000
726,222000
285,164700
1084,187500
96,214000
1100,60000
642,345000
746,236000
504,147000
74,107400
89,123600
1116,184100
699,196000
0,208500
934,242000
1142,424870
1146,180000
331,139000
102,118964
214,161750
860,189950
247,140000
1439,197000
1170,171000
1313,333168
1094,129000
1217,229456
369,162000
249,277000
744,180000
26,134800
844,153900
1316,295493
688,392000
1392,123000
3,140000
135,174000
845,171000
359,280000
295,142500
706,302000
1059,220000
1239,265900
373,123000
1195,176000
227,106000
343,266000
1248,129500
610,313000
459,110000
63,140000
999,206000
238,318000
657,149000
112,383970
1436,120500
1208,140000
582,118500
127,87000
1019,213490
